Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,Vehicle Revenue Hours, Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Directional Route Miles,Directional Route Miles Questionable,Any data questionable
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","3,304",MB,PT,69,,0,,15.22,,6.69,,17.85,,"1,525,180",,"1,777,525",,1245302,,"532,223",,"103,175",,81811,,"21,364",,0,,0,,0,,0,,1460056,,"9,769,903",,284,,No
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","3,304",MB,DO,"1,209",,0,,9.8,,2.78,,30.88,,"30,573,537",,"39,906,359",,30377526,,"9,528,833",,"3,662,975",,3100367,,"562,608",,0,,0,,0,,0,,95750592,,"266,193,269",,"2,132.20",,No
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","2,703",MB,DO,"1,555",,0,,9.09,,2.48,,22.39,,"52,591,756",,"54,087,118",,49278477,,"4,808,641",,"5,786,581",,5423534,,"363,047",,0,,0,,0,,0,,121449922,,"301,677,908",,"1,528.10",,No
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","2,703",HR,DO,"1,148",,158,,18.03,,6.31, W ,19.72,,"82,996,946",,"70,519,745",,69510641,,"1,009,104",,"4,177,041",,3855798,,"321,243",,"10,533,049",,"10,388,783",,"631,507",,"582,079",,76049871,,"480,210,760",W,207.8,,Yes
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,428",TB,DO,22,,0,,8.37,,2.32,,45.7,,"431,309",,"377,560",,375096,,"2,464",,"47,092",,44820,,"2,272",,0,,0,,0,,0,,2048150,,"4,759,117",,21.6,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,428",RB,DO,65,,0,,9.01,,2.07,,57.09,,"1,570,799",,"1,533,501",,1454757,,"78,744",,"170,192",,161390,,"8,802",,0,,0,,0,,0,,9214174,,"19,072,682",,13,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,428",MB,PT,53,,0,,8.05,,2.19, W ,7.73, W ,"810,827",,"801,272",,784846,,"16,426",,"99,356",,97518,,"1,838",,0,,0,,0,,0,,753648, W ,"1,649,471",W,80,,Yes
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,428",MB,DO,767,,0,,8.53,,2.58,,35,,"22,271,465",,"21,978,557",,19713478,,"2,265,079",,"2,520,143",,2311113,,"209,030",,0,,0,,0,,0,,80891824,,"208,952,722",,"1,512.50",,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,428",LR,DO,154,,86,,7.3,,2.35,,57.77,,"5,714,964",,"5,260,506",,5241369,,"19,137",,"726,323",,717709,,"8,614", Q ,"2,876,932",,"2,870,560",,"321,018",,"315,916",,41465243,,"97,602,251",,51,,Yes
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,428",HR,DO,338,,56,,16.71,,3.52,,87.05,,"23,317,516",,"22,746,421",,22203578,,"542,843",,"1,393,950",,1328990,,"64,960",,"3,791,070",,"3,700,596",,"253,575",,"242,748",,115683733,,"407,181,618",,76.3,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,428",FB,PT,9,,0,,10.36,,8.51,,70.13,,"203,569",,"178,857",,176412,,"2,445",,"18,047",,17029,,"1,018",,0,,0,,0,,0,,1194282,,"10,161,755",,38.4,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,428",DR,PT,584,,0,,10.59,,7.66,,1.23,,0,,"15,856,060",,12048450,,"3,807,610",,"1,669,678",,1137343,,"532,335",,0,,0,,0,,0,,1397996,,"10,710,752",,0,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,428",CR,PT,436,,67,,29.73,,20.75,,33.01,,"22,195,183",,"22,810,502",,22300695,,"509,807",,"768,699",,750128,,"18,571",,"4,189,947",,"4,093,393",,"141,215",,"137,738",,24761705,,"513,830,968",,776.1,,No
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,406",TB,DO,29,,0,,8.4,,2.04, W ,63.86, W ,"758,640",,"623,114",,611268,,"11,846",,"74,188",,72774,,"1,414",,0,,0,,0,,0,,4647076, W ,"9,499,074",W,30.6,,Yes
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,406",SR,DO,118,,118,,8.66,,2.57, W ,62.36, W ,"3,534,300",,"2,982,690",,2877276,,"105,414",,"344,482",,332182,,"12,300",,"2,982,690",,"2,877,276",,"344,482",,"332,182",,20713198, W ,"53,250,744",W,82.9,,Yes
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,406",MB,PT,6,,0,,19.5,,6.39,,6.83,,"150,915",,"185,685",,150426,,"35,259",,"9,129",,7716,,"1,413",,0,,0,,0,,0,,52710,,"336,840",,21.3,,No
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,406",MB,DO,"1,217",,0,,9.98,,3.11, W ,31.26, W ,"38,465,746",,"42,943,016",,37909116,,"5,033,900",,"4,141,956",,3799434,,"342,522",,0,,0,,0,,0,,118773418, W ,"369,136,718",W,"2,522.80",,Yes
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,406",HR,DO,286,,61,,17.1,,4.43, W ,75.51, W ,"16,431,036",,"16,168,711",,16089713,,"78,998",,"945,947",,941080,,"4,867",,"3,121,305",,"3,101,700",,"182,557",,"181,391",,71064786, W ,"314,489,396",W,74.9,,Yes
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,406",DR,PT,393,,0,,9.85,,6.76,,1.44,,0,,"9,425,644",,7854344,,"1,571,300",,"938,418",,797436,,"140,982",,0,,0,,0,,0,,1151930,,"7,785,430",,0,,No
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,406",CR,DO,357,,84,,19.69,,13.45, W ,29.79, W ,"16,896,038",,"17,498,310",,16621821,,"876,489",,"882,766",,844136,,"38,630",,"4,453,116",,"4,225,898",,"224,140",,"214,329",,25150117, W ,"338,253,606",W,446.9,,Yes
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,157",DR,PT,345,,0,,14.62,,10.71,,1.35,,0,,"17,104,265",,13691291,,"3,412,974",,"1,131,385",,936407,,"194,978",,0,,0,,0,,0,,1261873,,"13,514,183",,0,,No
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,157",CB,PT,66,,0,,28.58,,21.02,,16.27,,"1,502,037",,"2,029,530",,1510271,,"519,259",,"70,443",,52839,,"17,604",,0,,0,,0,,0,,859512,,"18,065,624",,264.5,,No
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,157",CB,DO,242,,0,,25.04,,18.74,,17.31,,"4,678,170",,"6,211,595",,4715348,,"1,496,247",,"245,717",,188296,,"57,421",,0,,0,,0,,0,,3258516,,"61,060,629",,613.6,,No
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,157",VP,DO,536,,0,,36.72,,31.34,,7.15,,0,,"4,555,756",,4555756,,0,,"124,059",,124059,,0,,0,,0,,0,,0,,887217,,"27,807,610",,0,,No
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,157",RB,DO,8,,0,,7.43,,3.64,,4.52,,"43,220",,"46,848",,42514,,"4,334",,"5,945",,5721,,224,,0,,0,,0,,0,,25836,,"94,162",,9.5,,No
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,157",MB,PT,116,,0,,12.41,,4.13,,14.55,,"6,970,142",,"7,785,754",,6942328,,"843,426",,"591,714",,559191,,"32,523",,0,,0,,0,,0,,8135334,,"33,621,284",,"1,167.70",,No
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,157",MB,DO,613,,0,,12.5,,5.21,,16.69,,"28,153,252",,"31,545,335",,28041592,,"3,503,743",,"2,383,503",,2242956,,"140,547",,0,,0,,0,,0,,37441758,,"195,130,824",,"2,415.10",,No
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,157",LR,DO,56,,29,,12.15,,2.91,,48.38,,"3,257,209",,"3,247,125",,3236011,,"11,114",,"268,268",,266396,,"1,872",,"1,940,638",,"1,929,524",,"176,143",,"174,271",,12888105,,"37,497,523",,43.6,,No
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,157",DR,TX,175,,0,,27.73,,5.57,,5.6,,0,,0,,1433641,,0,,0,,51699,,0,,0,,0,,0,,0,,289350,,"1,610,543",,0,,No
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,888",MB,DO,611,,0,,11.31,,3.13, W ,30.71,,"20,674,052",,"23,426,484",,20425964,,"3,000,520",,"1,977,061",,1805542,,"171,519",,0,,0,,0,,0,,55439277,,"173,691,360",W,"1,105.30",,Yes
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,888",LR,DO,38,,18,,19.68,,5.71, W ,35.37,,"2,774,375",,"2,676,810",,2588105,,"88,705",,"138,492",,131530,,"6,962",,"1,046,361",,"1,044,905",,"58,730",,"58,193",,4652718,,"26,579,844",W,57.6,,Yes
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,888",HR,DO,54,,9,,26.09,,4.77, W ,36.7,,"4,289,979",,"4,659,371",,4169492,,"489,879",,"180,401",,159796,,"20,605",,"845,652",,"734,915",,"32,887",,"28,462",,5864191,,"27,957,087",W,29.4,,Yes
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,888",DR,TX,241,Q,0,,17.4,,4.83,,4.5,,0,,0,,3091425,,0,,0,,177633,,0,,0,,0,,0,,0,,799577,,"3,864,280",,0,,Yes
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,888",DR,PT,503,,0,,12.24,,9.92,,1.34,,0,,"17,356,410",,15432243,,"1,924,167",,"1,337,528",,1261235,,"76,293",,0,,0,,0,,0,,1693896,,"16,808,141",,0,,No
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,888",DR,DO,12,,0,,12.03, Q ,7.95,,1.09,,0,,"159,034",,134412, Q ,"24,622",,"14,779",,11176,,"3,603",,0,,0,,0,,0,,12232,,"97,202",,0,,Yes
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,888",CR,PT,149,,28,,38.33,,29.58, W ,45.75,,"6,001,808",,"5,996,542",,5596811,,"399,731",,"155,174",,146023,,"9,151",,"1,094,365",,"1,036,558",,"30,902",,"28,513",,6680248,,"197,632,189",W,400.4,,Yes
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,888",CB,PT,280,,0,,26.97,,28.82, W ,14.54,,"4,915,163",,"10,581,459", W ,4857107,,"5,724,352",,"348,655",,180109,,"168,546",,0,,0,,0,,0,,2619035,,"75,476,512",W,"1,359.00",,Yes
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,467",DR,DO,9,,0,,8.23,,6.79,,1.64,,0,,"162,798",,126727,,"36,071",,"18,026",,15400,,"2,626",,0,,0,,0,,0,,25304,,"171,867",,0,,No
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,467",VP,DO,535,,0,,35.92,,24.1,,6.33,,0,,"2,566,080",,2566080,,0,,"71,440",,71440,,0,,0,,0,,0,,0,,452362,,"10,903,868",,0,,No
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,467",MB,PT,81,,0,,13.66,,5.37,,5.88,,"1,027,708",,"1,328,147",,1027669,,"300,478",,"89,483",,75219,,"14,264",,0,,0,,0,,0,,441950,,"2,372,158",,344.5,,No
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,467",MB,DO,535,,0,,13.98,,6.41,,8.7,,"21,183,026",,"25,991,710",,21151819,,"4,839,891",,"1,695,568",,1512552,,"183,016",,0,,0,,0,,0,,13152358,,"84,366,008",,"2,778.90",,No
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,467",DR,TX,66,,0,,18.23,,7.1,,2.68,,0,,0,,290145,,0,,0,,15915,,0,,0,,0,,0,,0,,42572,,"302,440",,0,,No
